model,angle_set,curve,point_index,param_angle_rad,x_over_delta_xq,p_over_delta_pq
QG,A,V_init,94,0.8203047484373349,-0.009370775808761778,1.9392059692395471
QG,A,V_init,95,0.8290313946973066,-0.013785614341754321,1.921570901947502
QG,A,V_init,96,0.8377580409572782,-0.018199403046841423,1.9037894995916098
QG,A,V_init,97,0.8464846872172498,-0.022611805796924705,1.8858631162945025
QG,A,V_init,98,0.8552113334772214,-0.027022486570451476,1.8677931172196736
QG,A,V_init,99,0.8639379797371931,-0.03143110947700398,1.8495808784675132
QG,A,V_init,100,0.8726646259971648,-0.03583733878287931,1.8312277869705142
QG,A,V_init,101,0.8813912722571364,-0.0402408389366565,1.8127352403876507
QG,A,V_init,102,0.8901179185171081,-0.044641274594749925,1.7941046469979414
QG,A,V_init,103,0.8988445647770797,-0.049038310646947136,1.775337425593205
QG,A,V_init,104,0.9075712110370514,-0.05343161224192919,1.7564350053700115
QG,A,V_init,105,0.9162978572970231,-0.05782084481276997,1.7373988258208444
QG,A,V_init,106,0.9250245035569946,-0.06220567410241584,1.718230336624478
QG,A,V_init,107,0.9337511498169663,-0.06658576618913972,1.6989309975355784
QG,A,V_init,108,0.9424777960769379,-0.07096078751197107,1.6795022782735372
QG,A,V_init,109,0.9512044423369096,-0.07533040489609752,1.6599456584105485
QG,A,V_init,110,0.9599310885968813,-0.07969428557823763,1.6402626272589305
QG,A,V_init,111,0.9686577348568529,-0.08405209723198195,1.620454683757712
QG,A,V_init,112,0.9773843811168246,-0.0884035079931011,1.60052333635848
QG,A,V_init,113,0.9861110273767962,-0.09274818648481853,1.5804701029105064
QG,A,V_init,114,0.9948376736367679,-0.09708580184304585,1.560296510545157
QG,A,V_init,115,1.0035643198967394,-0.10141602374157987,1.5400040955595966
QG,A,V_init,116,1.0122909661567112,-0.10573852241725795,1.5195944032997903
QG,A,V_init,117,1.0210176124166828,-0.11005296869507059,1.4990689880428243
QG,A,V_init,118,1.0297442586766545,-0.11435903401322975,1.4784294128785367
QG,A,V_init,119,1.038470904936626,-0.11865639044818965,1.4576772495904866
QG,A,V_init,120,1.0471975511965976,-0.12294471073962007,1.4368140785362535
QG,A,V_init,121,1.0559241974565694,-0.127223668315328,1.4158414885270876
QG,A,V_init,122,1.064650843716541,-0.13149293731612713,1.3947610767069174
QG,A,V_init,123,1.0733774899765127,-0.13575219262065413,1.3735744484307184
QG,A,V_init,124,1.0821041362364843,-0.14000110987012696,1.3522832171422623
QG,A,V_init,125,1.090830782496456,-0.14423936549304703,1.3308890042512427
QG,A,V_init,126,1.0995574287564276,-0.14846663672983923,1.309393439009804
QG,A,V_init,127,1.1082840750163994,-0.1526826016574326,1.287798158388461
QG,A,V_init,128,1.117010721276371,-0.15688693921377492,1.2661048069514442
QG,A,V_init,129,1.1257373675363425,-0.1610793292222836,1.2443150367314537
QG,A,V_init,130,1.1344640137963142,-0.1652594524162282,1.2224305071038541
QG,A,V_init,131,1.1431906600562858,-0.1694269904630432,1.2004528846603073
QG,A,V_init,132,1.1519173063162575,-0.17358162598857121,1.1783838430818503
QG,A,V_init,133,1.160643952576229,-0.17772304260123153,1.1562250630114448
QG,A,V_init,134,1.1693705988362009,-0.18185092491611518,1.133978231925983
QG,A,V_init,135,1.1780972450961724,-0.18596495857900186,1.1116450440077856
QG,A,V_init,136,1.1868238913561442,-0.1900648302903002,1.0892272000155774
QG,A,V_init,137,1.1955505376161157,-0.19415022782890595,1.066726407154974
QG,A,V_init,138,1.2042771838760873,-0.19822084007597937,1.0441443789484663
QG,A,V_init,139,1.213003830136059,-0.20227635703863786,1.0214828351049323
