level,Omega_q_over_2pi_Hz,T_K
0.0,2.1032166565798143,4.539439148223275e-05
0.0,2.1492572542246338,4.481315022601308e-05
0.0,2.1963057064929226,4.4243809347664696e-05
0.0,2.2443840758902502,4.368566262904901e-05
0.0,2.2935149078828703,4.313836125797926e-05
0.0,2.3437212414699866,4.260359320971432e-05
0.0,2.395026619987486,4.207840344569636e-05
0.0,2.4474551021481354,4.1563768914830836e-05
0.0,2.501031273323481,4.105975884875306e-05
0.0,2.5557802570727097,4.056511517879023e-05
0.0,2.611727726923871,4.008045083262222e-05
0.0,2.668899918413004,3.960520444543622e-05
0.0,2.727323641386825,3.913888777129365e-05
0.0,2.787026292574691,3.868121320376055e-05
0.0,2.848035868435802,3.8232341009087595e-05
0.0,2.9103809782876318,3.779178758585529e-05
0.0,2.9740908577217215,3.73602830852288e-05
0.0,3.039195382313198,3.693625227018016e-05
0.0,3.1057250816303474,3.651975652624858e-05
0.0,3.1737111535509097,3.611100592943099e-05
0.0,3.2431854788917565,3.5709475316341875e-05
0.0,3.3141806363587922,3.5315471664399686e-05
0.0,3.386729917824151,3.4928439307426227e-05
0.0,3.460867343937815,3.4548172213052936e-05
0.0,3.536627680080955,3.417422802606625e-05
0.0,3.61404645266852,3.380704501785093e-05
0.0,3.6931599658087118,3.3445815442766055e-05
0.0,3.7740053183271063,3.309100041327535e-05
0.0,3.856620421163472,3.274172036267235e-05
0.0,3.9410440151494224,3.2398310298619804e-05
0.0,4.027315689175186,3.2060478439937924e-05
0.0,4.115475898754121,3.17287021990579e-05
0.0,4.205565984993555,3.140189694579607e-05
0.0,4.297628193980949,3.108029932760459e-05
0.0,4.391705696594433,3.0763194147268964e-05
0.0,4.487842608746969,3.045161997821532e-05
0.0,4.586084012073715,3.014504936850653e-05
0.0,4.686475975072232,2.9842971730180635e-05
0.0,4.789065574705438,2.9545507274822245e-05
0.0,4.893900918477494,2.9251902289834975e-05
0.0,5.001031166992947,2.8963383680663538e-05
0.0,5.110506557009655,2.8678814734585775e-05
0.0,5.222378424996435,2.8398069025324114e-05
0.0,5.336699231206314,2.8121451511618692e-05
0.0,5.4535225842768105,2.784901257061769e-05
0.0,5.57290326636875,2.758016569411113e-05
0.0,5.694897258855298,2.731569335290911e-05
0.0,5.81956176857343,2.705352819520941e-05
0.0,5.946955254650025,2.6795588723112835e-05
0.0,6.0771374559151745,2.654012458517743e-05
0.0,6.2101694189156165,2.6289365971797557e-05
0.0,6.346113526541414,2.604167562162164e-05
0.0,6.4850335272792226,2.5797351818837955e-05
0.0,6.6269945651059885,2.555587042800941e-05
0.0,6.772063210037042,2.531729388357328e-05
0.0,6.920307489342821,2.5081776926990518e-05
0.0,7.071796919449078,2.4848937759246252e-05
0.0,7.2266025385352695,2.4619412617495814e-05
0.0,7.384796939846627,2.4392199305999753e-05
0.0,7.546454305735441,2.4167784578646657e-05
0.0,7.711650442447474,2.3945715438039024e-05
0.0,7.880462815669913,2.3726648975137762e-05
0.0,8.052970586857512,2.3510066559236015e-05
0.0,8.229254650353852,2.3296029062519063e-05
0.0,8.409397671325264,2.3083988823967375e-05
0.0,8.593484124525183,2.2874360531429853e-05
0.0,8.781600333906958,2.266738291866393e-05
0.0,8.973834513103924,2.2462109407861564e-05
0.0,9.170276806795568,2.225917958780607e-05
0.0,9.371019332979177,2.2058654123802973e-05
0.0,9.576156226166932,2.1860004152036317e-05
0.0,9.785783681528496,2.166338542451177e-05
0.0,10.0,2.1469420469357358e-05
1.0,0.03746862117612209,1.1423960003936931e-05
1.0,0.038288830404914174,1.3284659844959429e-05
1.0,0.03912699447586157,1.540695791132678e-05
1.0,0.03998350643057558,1.7658987916827082e-05
1.0,0.04085876791456968,1.9937385951854544e-05
1.0,0.041753189365603995,2.222719185962885e-05
1.0,0.04266719020615259,2.4569583128902327e-05
1.0,0.0436011990400836,2.7038038017408734e-05
1.0,0.04455565385364549,2.9733293209748796e-05
1.0,0.04553100222085242,3.279454787349556e-05
1.0,0.04652770151336587,3.6423506584304744e-05
