T_tomo_K,Omega_q_over_2pi_Hz,curve,point_index,param_angle_rad,X_q,P_q
0.001,0.1,sn_init,155,1.3526301702956054,0.24404687421882587,3.0940081246728575
0.001,0.1,sn_init,156,1.361356816555577,0.2473078922969622,3.0995934489448778
0.001,0.1,sn_init,157,1.3700834628155487,0.2505500769216088,3.1049427271751977
0.001,0.1,sn_init,158,1.3788101090755203,0.2537731811878537,3.110055551995568
0.001,0.1,sn_init,159,1.387536755335492,0.2569769596438284,3.1149315340445844
0.001,0.1,sn_init,160,1.3962634015954636,0.26016116830939934,3.119570301997335
0.001,0.1,sn_init,161,1.4049900478554354,0.26332556469474866,3.123971502593682
0.001,0.1,sn_init,162,1.413716694115407,0.2664699078188401,3.1281348006651584
0.001,0.1,sn_init,163,1.4224433403753787,0.26959395822777094,3.1320598791604977
0.001,0.1,sn_init,164,1.4311699866353502,0.27269747801300726,3.1357464391697762
0.001,0.1,sn_init,165,1.4398966328953218,0.27578023082950165,3.1391941999471764
0.001,0.1,sn_init,166,1.4486232791552935,0.2788419819136919,3.142402898932365
0.001,0.1,sn_init,167,1.457349925415265,0.28188249810137866,3.1453722917704936
0.001,0.1,sn_init,168,1.4660765716752369,0.28490154784548266,3.1481021523307993
0.001,0.1,sn_init,169,1.4748032179352084,0.28789890123367695,3.1505922727238316
0.001,0.1,sn_init,170,1.4835298641951802,0.29087433000589646,3.152842463317283
0.001,0.1,sn_init,171,1.4922565104551517,0.29382760757172016,3.1548525527504263
0.001,0.1,sn_init,172,1.5009831567151235,0.2967585090276275,3.1566223879471687
0.001,0.1,sn_init,173,1.509709802975095,0.2996668111741251,3.1581518341277097
0.001,0.1,sn_init,174,1.5184364492350666,0.3025522925327445,3.1594407748187994
0.001,0.1,sn_init,175,1.5271630954950384,0.3054147333629088,3.1604891118626135
0.001,0.1,sn_init,176,1.53588974175501,0.3082539156786662,3.1612967654242294
0.001,0.1,sn_init,177,1.5446163880149817,0.3110696232652912,3.161863673997699
0.001,0.1,sn_init,178,1.5533430342749532,0.3138616416957495,3.1621897944107418
0.001,0.1,sn_init,179,1.562069680534925,0.31662975834702795,3.1622751018280244
0.001,0.1,sn_init,180,1.5707963267948966,0.3193737624163262,3.1621195897530563
0.001,0.1,sn_init,181,1.5795229730548683,0.3220934449371108,3.161723270028685
0.001,0.1,sn_init,182,1.5882496193148399,0.3247885987950278,3.161086172836192
0.001,0.1,sn_init,183,1.5969762655748114,0.3274590187436764,3.160208346692994
0.001,0.1,sn_init,184,1.6057029118347832,0.33010450142023867,3.159089858448952
0.001,0.1,sn_init,185,1.6144295580947547,0.3327248453609661,3.1577307932812753
0.001,0.1,sn_init,186,1.6231562043547265,0.3353198510165228,3.156131254688038
0.001,0.1,sn_init,187,1.631882850614698,0.33788932076718087,3.1542913644802977
0.001,0.1,sn_init,188,1.6406094968746698,0.3404330589378709,3.152211262772816
0.001,0.1,sn_init,189,1.6493361431346414,0.3429508718130826,3.1498911079733927
0.001,0.1,sn_init,190,1.6580627893946132,0.3454425676516175,3.147331076770798
0.001,0.1,sn_init,191,1.6667894356545847,0.3479079567011904,3.144531364121319
0.001,0.1,sn_init,192,1.6755160819145565,0.3503468512128801,3.1414921832339138
0.001,0.1,sn_init,193,1.684242728174528,0.3527590654554269,3.138213765553974
0.001,0.1,sn_init,194,1.6929693744344996,0.35514441572937705,3.1346963607456986
0.001,0.1,sn_init,195,1.7016960206944713,0.35750272038107195,3.1309402366730823
0.001,0.1,sn_init,196,1.710422666954443,0.35983379981648167,3.1269456793795154
0.001,0.1,sn_init,197,1.7191493132144147,0.36213747651488226,3.1227129930660005
0.001,0.1,sn_init,198,1.7278759594743862,0.3644135750423739,3.11824250006799
0.001,0.1,sn_init,199,1.736602605734358,0.3666619220652416,3.1135345408308317
0.001,0.1,sn_init,200,1.7453292519943295,0.3688823463631547,3.1085894738838498
0.001,0.1,sn_init,201,1.7540558982543013,0.3710746788422062,3.1034076758130387
0.001,0.1,sn_init,202,1.7627825445142729,0.3732387525477897,3.097989541232383
0.001,0.1,sn_init,203,1.7715091907742444,0.37537440267731415,3.092335482753808
0.001,0.1,sn_init,204,1.7802358370342162,0.3774814665927537,3.086445930955758
0.001,0.1,sn_init,205,1.7889624832941877,0.37955978383303324,3.080321334350404
0.001,0.1,sn_init,206,1.7976891295541595,0.38160919612624844,3.0739621593494904
0.001,0.1,sn_init,207,1.806415775814131,0.38362954740171856,3.067368890228814
0.001,0.1,sn_init,208,1.8151424220741028,0.3856206838018718,3.0605420290913448
0.001,0.1,sn_init,209,1.8238690683340744,0.3875824536939624,3.0534820958289908
