temp_index,T_K,t_eval_s,omega_q_t_eval,free_fidelity,free_distinguishability,sn_init_h1,sn_init_h2,sn_init_h3,qg_init_h1,qg_init_h2,qg_init_h3
111,2.6107841275333118e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
112,2.6334535171671748e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
113,2.6563197446862354e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
114,2.6793845192301552e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
115,2.70264956477904e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
116,2.7261166202822605e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
117,2.7497874397884737e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
118,2.7736637925766926e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
119,2.797747463288545e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
120,2.8220402520616872e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
121,2.846543974664313e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
122,2.8712604626309217e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
123,2.8961915633991736e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
124,2.9213391404479956e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
125,2.9467050734368862e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
126,2.9722912583463673e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
127,2.9980996076197477e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
128,3.0241320503060226e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
129,3.050390532204107e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
130,3.076877016008233e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
131,3.1035934814546705e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
132,3.13054192546972e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
133,3.157724362318932e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
134,3.185142823757712e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
135,3.2127993591831375e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
136,3.240696035787167e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
137,3.2688349387111645e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
138,3.297218171201712e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
139,3.325847854767869e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
140,3.354726129339691e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
141,3.383855153428233e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
142,3.413237104286842e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
143,3.4428741780739124e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
144,3.472768590017064e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
145,3.5029225745786674e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
146,3.533338385622916e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
147,3.564018296584244e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
148,3.5949646006372715e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
149,3.626179610868235e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
150,3.657665660447825e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
151,3.68942510280564e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
152,3.72146031180604e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
153,3.7537736819256036e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
154,3.786367628432131e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
155,3.8192445875651135e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
156,3.852407016717897e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
157,3.885857394621303e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
158,3.919598221528928e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
159,3.953632019404046e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
160,3.987961332108059e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
161,4.0225887255907025e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
162,4.0575167880817806e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
163,4.092748130284649e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
164,4.1282853855713756e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
165,4.164131210179516e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
166,4.2002882834107206e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
167,4.2367593078309305e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
168,4.273547009472452e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
169,4.3106541380376506e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
170,4.3480834671045086e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
171,4.3858377943339594e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
172,4.423919941678938e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
173,4.462332755595379e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
174,4.501079107254906e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
175,4.540161892759506e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
176,4.579584033357941e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
177,4.619348475664119e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
178,4.6594581918773694e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
179,4.6999161800045355e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
180,4.740725464084136e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
181,4.78188909441233e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
182,4.8234101477709414e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
183,4.8652917276574624e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
184,4.9075369645169556e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
185,4.95014901597612e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
186,4.9931310670792376e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
187,5.0364863305262693e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
188,5.0802180469130226e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
189,5.124329484973294e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
190,5.168823941823277e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
191,5.213704743207931e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
192,5.258975243749597e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
193,5.3046388271987715e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
194,5.3506989066869495e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
195,5.397158924981825e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
196,5.4440223547445495e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
197,5.491292698789323e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
198,5.538973490345251e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
199,5.587068293320355e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
200,5.635580702568049e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
201,5.684514344155757e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
202,5.7338728756359795e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
203,5.7836599863197106e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
204,5.8338793975521156e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
205,5.884534862990779e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
206,5.935630168886173e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
207,5.9871691343647636e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
208,6.039155611714381e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
209,6.0915934866721995e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
210,6.144486678715213e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
211,6.197839141353113e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
212,6.251654862423888e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
213,6.3059378643918e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
214,6.360692204648146e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
215,6.415921975814435e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
216,6.47163130604833e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
217,6.527824359352252e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
218,6.584505335884523e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
219,6.641678472273414e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
220,6.69934804193372e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
221,6.757518355386216e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
222,6.816193760579891e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
223,6.875378643216834e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
224,6.935077427080163e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
225,6.995294574364577e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
226,7.056034586009931e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
227,7.117302002037698e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
228,7.17910140189021e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
229,7.241437404773077e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
230,7.304314670000335e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
231,7.36773789734276e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
232,7.43171182737919e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
233,7.496241241850765e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
234,7.56133096401845e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
235,7.626985859023451e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
236,7.693210834250905e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
237,7.760010839696725e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
238,7.827390868337488e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
239,7.895355956503751e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
240,7.963911184256391e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
241,8.033061675766355e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
242,8.102812599697723e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
243,8.173169169593918e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
244,8.244136644267535e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
245,8.315720328193266e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
