branch_id,temp_index,T_K,Omega_q_over_2pi_Hz,det_V_SN_recon,iterations
0.0,372.0,0.0002493135785303179,0.09474452577825937,-4.870253809087857e-05,2.0
0.0,372.5,0.00025039363164166276,0.09704625089616188,-1.3345398902960394e-05,4.0
0.0,373.0,0.00025147836365870625,0.10013487288935559,-4.888022092057632e-05,2.0
0.0,374.0,0.0002527964759867085,0.10999533793539623,3.7119607014336895e-05,17.0
1.0,89.0,2.158577816961288e-05,9.87112238038437,1.201953029262063e-05,1.0
1.0,89.5,2.1679290071412708e-05,9.769415192532067,2.923462079827852e-05,1.0
1.0,90.0,2.177320707678163e-05,9.668165798872561,6.49808663608574e-06,1.0
1.0,90.5,2.1867530940671673e-05,9.568717709714686,2.0936129544509435e-05,1.0
1.0,91.0,2.1962263425637512e-05,9.47037259263881,3.503102529666848e-05,1.0
1.0,91.5,2.2057406301869362e-05,9.372941807996652,1.9931229880031415e-05,1.0
1.0,92.0,2.2152961347226143e-05,9.276271480952545,1.391408220708673e-05,1.0
1.0,92.5,2.224893034726865e-05,9.18090606228826,1.544091187612964e-05,1.0
1.0,93.0,2.2345315095292876e-05,9.08660534218821,1.1206402779358247e-05,1.0
1.0,93.5,2.2442117392363557e-05,8.993541669177862,7.280097445491594e-06,1.0
1.0,94.0,2.2539339047347888e-05,8.90109681064247,6.530249047778134e-06,1.0
1.0,94.5,2.2636981876949265e-05,8.809862638206104,6.729500659402238e-06,1.0
1.0,95.0,2.2735047705741187e-05,8.719799725811841,9.501639766973921e-06,1.0
1.0,95.5,2.283353836620144e-05,8.6305502795716,1.3963428539542682e-05,1.0
1.0,96.0,2.2932455698746282e-05,8.542253110243735,3.708241501115056e-05,1.0
1.0,96.5,2.303180155176484e-05,8.45490473604251,7.522345392298108e-06,1.0
1.0,97.0,2.3131577781653697e-05,8.368755936144247,2.3925855944034294e-05,1.0
1.0,97.5,2.3231786252851554e-05,8.283271916283303,3.8809496892451204e-05,1.0
1.0,98.0,2.3332428837874014e-05,8.19913349619895,1.2196441235857764e-05,1.0
1.0,98.5,2.3433507417348608e-05,8.11579741734349,1.5960453271105464e-05,1.0
1.0,99.0,2.3535023880050004e-05,8.032980820430009,4.936587147238098e-06,1.0
1.0,99.5,2.3636980122935238e-05,7.951455589880795,1.4361980207323748e-05,1.0
1.0,100.0,2.3739378051179118e-05,7.870579388920209,2.139968874471807e-05,1.0
1.0,100.5,2.3842219578209883e-05,7.791329794270276,1.8555648750532127e-05,1.0
1.0,101.0,2.3945506625744983e-05,7.711650442447474,-6.117389672404555e-06,0.0
1.0,101.5,2.4049241123826963e-05,7.634089229401922,1.8455367662254854e-05,1.0
1.0,102.0,2.4153425010859467e-05,7.557091157585197,3.540465441646113e-05,1.0
1.0,102.5,2.4258060233643537e-05,7.480962464799394,1.1907709873377216e-05,1.0
1.0,103.0,2.4363148747413963e-05,7.405586721941356,1.3879244278618403e-05,1.0
1.0,103.5,2.4468692515875797e-05,7.331017120895489,8.88063940349227e-06,1.0
1.0,104.0,2.457469351124113e-05,7.257475839534086,2.4757696899361387e-05,1.0
1.0,104.5,2.468115371426587e-05,7.185147078579997,3.61651775408958e-05,1.0
1.0,105.0,2.4788075114286736e-05,7.1126074450221815,7.666272155861784e-06,1.0
1.0,105.5,2.4895459709258458e-05,7.0414509152202776,1.9558176645726958e-05,1.0
1.0,106.0,2.500330950579118e-05,6.9711573959021225,1.9036447620486452e-05,1.0
1.0,106.5,2.5111626519187883e-05,6.901535936342053,1.1333756032519254e-05,1.0
1.0,107.0,2.5220412773482013e-05,6.832876251516148,1.447222209650392e-05,1.0
1.0,107.5,2.532967030147537e-05,6.764708485303436,1.2008665508534363e-05,1.0
1.0,108.0,2.5439401144776076e-05,6.697555417679081,1.6131621261066482e-05,1.0
1.0,108.5,2.554960735383668e-05,6.631031183361935,1.0116245440579107e-05,1.0
1.0,109.0,2.5660290987992564e-05,6.56537365196273,1.8568454281882886e-05,1.0
1.0,109.5,2.577145411550038e-05,6.500520106553456,2.710422738463477e-05,1.0
